Question,Answer
Where did you hear about BioRender?,LinkedIn
Do you have programming experience or are you in a CS degree?,Yes
Are you legally authorized to work in the U.S. without restriction for any employer?,Yes
Are you legally authorized to work in Canada or the United States?,Yes
How many years of experience do you have as a machine learning engineer?,4
Are you legally authorized to work in the United States?,Yes
What are your salary expectations?,150k - 175k
Have you previously worked for hims & hers as an employee or contractor/consultant?,No
Are you legally authorized to work in Canada?,No
How did you hear about us?,LinkedIn
Are you a veteran/have you served in the military?,I don't wish to answer
Do you identify as having a disability?.No, I do not have a disability
Will you now or in the future require immigration sponsorship by Hims & Hers in order to work for Hims & Hers in the U.S.?,Yes
Have you worked as a Software Engineer prior to moving into ML?,No
Do you have programming experience or are you in a CS degree?,Yes
Which languages and dialects do you speak fluently?,English
Are you open to Tier 2 (Medium Complexity) RLHF projects at listed rate for your location?,Yes
Do you have any familial relationships with current Virta employees?,No
Are you 18 or older and legally eligible to work in the country of the job you are applying for?,Yes
Will you now or in the future require sponsorship for employment?,No
How many years of experience do you have in MLE?,7-9
Are you legally authorized to work in the country?,Yes
What is your expected salary?,I am open to discussing a competitive and fair compensation based on market standards
Are you legally eligible to work in the US?,Yes
Are you willing & able to come into our downtown San Francisco office on a hybrid basis? (3 days /week)?,Yes
Can you work onsite in Palo Alto?,Yes
Our offices are located in San Francisco CA and New York City. Please indicate which location you are interested in?,New York City
Will you now or will you in the future require employment visa sponsorship to work in the country in which the job you're applying for is located?,Yes
Do you have authorization to work in the United States?,Yes
Will you now or in the future require sponsorship for employment visa status?,Yes
Are you available to work in person at the Promise office  location listed in the job description at least three times per week?,Yes
Are you 18 or older?,Yes
Do you have programming experience or are you in a CS degree?,Yes
Are you comfortable working with JavaScript?,No
Would you willing to relocate to/be in office in San Francisco?,Currently in San Francisco
What annual salary are you looking for in $USD?,150k to 190k
Are you looking for full-time or part-time work?,Part-Time
How would you best describe your ideal work environment?,Collaborative and supportive  I enjoy working in a team-focused environment where communication mentorship and shared success are valued
How do you handle deadlines and pressure?,I manage pressure well and usually meet deadlines with effective time management
How do you handle situations where you have too many tasks to complete on your own?,I seek help from my team to redistribute the workload
How much are you willing to work when things are urgent?,I'm willing to work extra hours occasionally but prefer to keep a work-life balance
Are you comfortable working with Python?,Yes
Will you now or in the future require sponsorship for employment visa status?,Yes
Do you currently have legal authorization to work in the country where the position is based?,Yes
Are you excited to work in-office five days a week?,Yes
Are you legally authorized to work in Canada or the United States?,Yes
